Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.728000,0.764000,0.728000,0.728000,0.509674,374600
1980-03-18,0.728000,0.728000,0.708000,0.720000,0.504074,211400
1980-03-19,0.720000,0.736000,0.720000,0.720000,0.504074,151200
1980-03-20,0.720000,0.728000,0.720000,0.720000,0.504074,41000
1980-03-21,0.720000,0.720000,0.688000,0.688000,0.481671,553000
1980-03-24,0.688000,0.692000,0.632000,0.640000,0.448066,380200
1980-03-25,0.624499,0.624499,0.592000,0.616000,0.431263,322600
1980-03-26,0.620000,0.640000,0.620000,0.640000,0.448066,98600
1980-03-27,0.624499,0.624499,0.596000,0.604000,0.422862,511400
1980-03-28,0.616000,0.640000,0.616000,0.640000,0.448066,242600
1980-03-31,0.640000,0.640000,0.628000,0.640000,0.448066,60200
1980-04-01,0.640000,0.648000,0.640000,0.640000,0.448066,48200
1980-04-02,0.640000,0.664499,0.640000,0.656000,0.459267,124800
1980-04-03,0.656000,0.664499,0.648000,0.648000,0.453666,124800
1980-04-07,0.644000,0.644000,0.620000,0.620000,0.434063,262600
1980-04-08,0.620000,0.632000,0.616000,0.632000,0.442465,92200
1980-04-09,0.636000,0.644000,0.636000,0.640000,0.448066,48200
1980-04-10,0.640000,0.656000,0.640000,0.656000,0.459267,50600
1980-04-11,0.656000,0.656000,0.644000,0.652000,0.456467,240200
1980-04-14,0.644000,0.644000,0.632000,0.632000,0.442465,160800
1980-04-15,0.632000,0.640000,0.624499,0.624499,0.437213,34600
1980-04-16,0.645000,0.645000,0.625000,0.630000,0.441065,140200
1980-04-17,0.625000,0.625000,0.610000,0.620000,0.434063,180000
1980-04-18,0.620000,0.630000,0.605000,0.605000,0.423562,393800
1980-04-21,0.605000,0.615000,0.605000,0.605000,0.423562,22600
1980-04-22,0.610000,0.645000,0.610000,0.645000,0.451566,387400
1980-04-23,0.645000,0.655000,0.640000,0.655000,0.458567,502600
1980-04-24,0.655000,0.655000,0.640000,0.645000,0.451566,230600
1980-04-25,0.645000,0.650000,0.640000,0.650000,0.455067,144200
1980-04-28,0.650000,0.665000,0.650000,0.660000,0.462068,163400
1980-04-29,0.660000,0.665000,0.655000,0.655000,0.458567,32200
1980-04-30,0.655000,0.665000,0.650000,0.660000,0.462068,99400
1980-05-01,0.660000,0.660000,0.650000,0.650000,0.455067,214600
1980-05-02,0.650000,0.655000,0.640000,0.645000,0.451566,220800
1980-05-05,0.645000,0.650000,0.635000,0.650000,0.455067,265000
1980-05-06,0.645000,0.645000,0.640000,0.640000,0.448066,84000
1980-05-07,0.640000,0.640000,0.625000,0.640000,0.448066,134600
1980-05-08,0.640000,0.640000,0.630000,0.635000,0.444565,108200
1980-05-09,0.635000,0.645000,0.625000,0.625000,0.437564,63400
1980-05-12,0.635000,0.660000,0.635000,0.650000,0.455067,178600
1980-05-13,0.650000,0.660000,0.645000,0.660000,0.462068,73000
1980-05-14,0.660000,0.680000,0.650000,0.680000,0.476070,403400
1980-05-15,0.680000,0.685000,0.675000,0.680000,0.476070,144000
1980-05-16,0.680000,0.690000,0.675000,0.690000,0.483071,144200
1980-05-19,0.695000,0.720000,0.695000,0.715000,0.500573,319400
1980-05-20,0.715000,0.780000,0.710000,0.780000,0.546080,399400
1980-05-21,0.780000,0.780000,0.755000,0.765000,0.535578,291400
1980-05-22,0.765000,0.765000,0.750000,0.750000,0.525077,153600
1980-05-23,0.755000,0.785000,0.755000,0.760000,0.532078,140200
1980-05-27,0.770000,0.790000,0.770000,0.770000,0.539079,192200
1980-05-28,0.770000,0.785000,0.770000,0.780000,0.546080,140200
1980-05-29,0.780000,0.795000,0.775000,0.780000,0.546080,259400
1980-05-30,0.780000,0.785000,0.770000,0.780000,0.546080,98600
1980-06-02,0.780000,0.780000,0.770000,0.770000,0.539079,32200
1980-06-03,0.770000,0.775000,0.765000,0.775000,0.542579,370600
1980-06-04,0.775000,0.775000,0.765000,0.770000,0.539079,274600
1980-06-05,0.775000,0.820000,0.775000,0.805000,0.563582,319400
1980-06-06,0.805000,0.835000,0.800000,0.830000,0.581085,531400
1980-06-09,0.830000,0.870000,0.830000,0.835000,0.584586,422600
1980-06-10,0.835000,0.835000,0.825000,0.825000,0.577585,130600
1980-06-11,0.825000,0.840000,0.825000,0.840000,0.588086,211200
1980-06-12,0.840000,0.845000,0.830000,0.830000,0.581085,409000
1980-06-13,0.830000,0.855000,0.830000,0.855000,0.598588,332200
1980-06-16,0.855000,0.865000,0.850000,0.850000,0.595087,259200
1980-06-17,0.845000,0.845000,0.835000,0.840000,0.588086,132000
1980-06-18,0.840000,0.845000,0.830000,0.845000,0.591586,79400
1980-06-19,0.845000,0.850000,0.830000,0.830000,0.581085,230600
1980-06-20,0.815000,0.815000,0.800000,0.810000,0.567083,108200
1980-06-23,0.810000,0.845000,0.810000,0.845000,0.591586,182600
1980-06-24,0.845000,0.860000,0.840000,0.850000,0.595087,73000
1980-06-25,0.850000,0.850000,0.830000,0.850000,0.595087,314400
1980-06-26,0.850000,0.895000,0.845000,0.870000,0.609089,633600
1980-06-27,0.870000,0.885000,0.865000,0.875000,0.612590,124800
1980-06-30,0.875000,0.880000,0.865000,0.880000,0.616090,470600
1980-07-01,0.880000,0.890000,0.850000,0.850000,0.595087,415400
1980-07-02,0.850000,0.865000,0.850000,0.860000,0.602088,103200
1980-07-03,0.870000,0.890000,0.870000,0.880000,0.616090,74400
