Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,2.885417,2.979167,2.885417,2.906250,0.807059,1448000
1977-01-04,2.885417,2.885417,2.770833,2.770833,0.769454,1404000
1977-01-05,2.760417,2.760417,2.687500,2.708333,0.752099,2777600
1977-01-06,2.708333,2.729167,2.666667,2.718750,0.754991,2259200
1977-01-07,2.718750,2.802083,2.708333,2.802083,0.778133,1608000
1977-01-10,2.802083,2.822917,2.770833,2.791667,0.775240,1111200
1977-01-11,2.791667,2.802083,2.718750,2.739583,0.760776,696800
1977-01-12,2.739583,2.750000,2.697917,2.708333,0.752099,1003200
1977-01-13,2.718750,2.760417,2.718750,2.739583,0.760776,687200
1977-01-14,2.739583,2.750000,2.729167,2.739583,0.760776,552000
1977-01-17,2.739583,2.750000,2.718750,2.750000,0.763669,291200
1977-01-18,2.750000,2.760417,2.687500,2.708333,0.752099,627200
1977-01-19,2.708333,2.718750,2.583333,2.583333,0.717386,1070400
1977-01-20,2.708333,2.718750,2.583333,2.583333,0.717386,1128000
1977-01-21,2.583333,2.697917,2.583333,2.666667,0.740528,1292000
1977-01-24,2.666667,2.697917,2.656250,2.666667,0.740528,1138400
1977-01-25,2.666667,2.666667,2.614583,2.635417,0.731850,816800
1977-01-26,2.635417,2.635417,2.531250,2.614583,0.726064,1958400
1977-01-27,2.614583,2.687500,2.562500,2.572917,0.714494,904800
1977-01-28,2.572917,2.604167,2.562500,2.583333,0.717386,353600
1977-01-31,2.583333,2.604167,2.531250,2.593750,0.720279,1073600
1977-02-01,2.593750,2.604167,2.572917,2.604167,0.723171,855200
1977-02-02,2.604167,2.614583,2.541667,2.552083,0.708708,574400
1977-02-03,2.552083,2.552083,2.510417,2.531250,0.702923,624800
1977-02-04,2.531250,2.583333,2.531250,2.562500,0.711601,691200
1977-02-07,2.562500,2.593750,2.541667,2.572917,0.714494,392000
1977-02-08,2.562500,2.562500,2.541667,2.541667,0.705815,999200
