Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.406250,1.468750,1.406250,1.406250,0.112625,57600
1980-03-18,1.406250,1.406250,1.375000,1.390625,0.111373,140000
1980-03-19,1.406250,1.453125,1.406250,1.437500,0.115127,88000
1980-03-20,1.437500,1.437500,1.437500,1.437500,0.115127,26400
1980-03-21,1.437500,1.453125,1.421875,1.437500,0.115127,66400
1980-03-24,1.437500,1.468750,1.375000,1.375000,0.110122,100800
1980-03-25,1.375000,1.390625,1.359375,1.359375,0.108870,160000
1980-03-26,1.359375,1.375000,1.343750,1.343750,0.107619,76800
1980-03-27,1.312500,1.312500,1.296875,1.296875,0.103865,227200
1980-03-28,1.296875,1.375000,1.296875,1.375000,0.110122,232000
1980-03-31,1.375000,1.421875,1.375000,1.421875,0.113876,175200
1980-04-01,1.437500,1.484375,1.437500,1.468750,0.117630,32000
1980-04-02,1.500000,1.515625,1.500000,1.515625,0.121384,32000
1980-04-03,1.515625,1.546875,1.500000,1.531250,0.122636,65600
1980-04-07,1.531250,1.531250,1.515625,1.531250,0.122636,69600
1980-04-08,1.531250,1.531250,1.515625,1.531250,0.122636,54400
1980-04-09,1.531250,1.562500,1.531250,1.562500,0.125138,166400
1980-04-10,1.593750,1.625000,1.593750,1.625000,0.130144,82400
1980-04-11,1.625000,1.640625,1.625000,1.625000,0.130144,63200
1980-04-14,1.625000,1.656250,1.625000,1.625000,0.130144,168000
1980-04-15,1.593750,1.593750,1.578125,1.593750,0.127641,43200
1980-04-16,1.625000,1.656250,1.625000,1.640625,0.131395,411200
1980-04-17,1.640625,1.687500,1.640625,1.687500,0.135149,120800
1980-04-18,1.687500,1.750000,1.687500,1.687500,0.135149,292000
1980-04-21,1.687500,1.703125,1.687500,1.687500,0.135149,129600
1980-04-22,1.687500,1.703125,1.671875,1.687500,0.135149,67200
1980-04-23,1.703125,1.765625,1.703125,1.703125,0.136401,144800
1980-04-24,1.703125,1.718750,1.703125,1.703125,0.136401,148800
1980-04-25,1.687500,1.687500,1.671875,1.687500,0.135149,11200
1980-04-28,1.703125,1.718750,1.703125,1.703125,0.136401,44800
1980-04-29,1.703125,1.718750,1.687500,1.703125,0.136401,136000
1980-04-30,1.703125,1.703125,1.687500,1.687500,0.135149,54400
1980-05-01,1.687500,1.718750,1.687500,1.703125,0.136401,57600
1980-05-02,1.703125,1.718750,1.703125,1.703125,0.136401,82400
1980-05-05,1.703125,1.765625,1.703125,1.765625,0.141406,108800
1980-05-06,1.765625,1.796875,1.750000,1.781250,0.142658,156000
1980-05-07,1.812500,1.953125,1.812500,1.890625,0.151417,732800
1980-05-08,1.890625,1.890625,1.843750,1.843750,0.147663,268800
1980-05-09,1.828125,1.828125,1.796875,1.796875,0.143909,177600
1980-05-12,1.781250,1.781250,1.750000,1.750000,0.140155,76800
1980-05-13,1.750000,1.796875,1.750000,1.750000,0.140155,24800
1980-05-14,1.750000,1.828125,1.750000,1.781250,0.142658,614400
1980-05-15,1.781250,1.781250,1.750000,1.750000,0.140155,187200
1980-05-16,1.750000,1.796875,1.750000,1.750000,0.140155,52000
1980-05-19,1.734375,1.734375,1.703125,1.718750,0.137652,128000
1980-05-20,1.750000,1.765625,1.750000,1.765625,0.141406,44000
1980-05-21,1.750000,1.750000,1.734375,1.734375,0.138904,24800
1980-05-22,1.750000,1.765625,1.750000,1.750000,0.140155,65600
1980-05-23,1.750000,1.781250,1.750000,1.765625,0.141406,34400
1980-05-27,1.765625,1.765625,1.765625,1.765625,0.141406,4800
1980-05-28,1.765625,1.765625,1.750000,1.765625,0.141406,12000
1980-05-29,1.765625,1.765625,1.765625,1.765625,0.141406,14400
1980-05-30,1.796875,1.812500,1.796875,1.796875,0.143909,238400
1980-06-02,1.781250,1.781250,1.765625,1.781250,0.142658,19200
1980-06-03,1.781250,1.796875,1.765625,1.765625,0.141406,68800
1980-06-04,1.765625,1.765625,1.765625,1.765625,0.141406,34400
1980-06-05,1.781250,1.828125,1.781250,1.812500,0.145161,57600
1980-06-06,1.828125,1.843750,1.828125,1.843750,0.147663,40800
1980-06-09,1.843750,1.843750,1.828125,1.843750,0.147663,112800
1980-06-10,1.843750,1.843750,1.812500,1.812500,0.145161,58400
1980-06-11,1.812500,1.828125,1.781250,1.812500,0.145161,72800
1980-06-12,1.812500,1.812500,1.781250,1.781250,0.142658,15200
1980-06-13,1.796875,1.812500,1.796875,1.796875,0.143909,100000
1980-06-16,1.812500,1.828125,1.812500,1.828125,0.146412,36800
1980-06-17,1.843750,1.859375,1.843750,1.843750,0.147663,124000
1980-06-18,1.843750,1.843750,1.765625,1.765625,0.141406,66400
1980-06-19,1.765625,1.781250,1.734375,1.734375,0.138904,69600
1980-06-20,1.734375,1.734375,1.718750,1.718750,0.137652,12000
1980-06-23,1.718750,1.750000,1.718750,1.750000,0.140155,12800
1980-06-24,1.750000,1.750000,1.734375,1.750000,0.140155,36000
1980-06-25,1.750000,1.781250,1.734375,1.750000,0.140155,171200
1980-06-26,1.750000,1.781250,1.750000,1.781250,0.142658,56800
1980-06-27,1.781250,1.828125,1.750000,1.828125,0.146412,100000
1980-06-30,1.828125,1.859375,1.828125,1.843750,0.147663,185600
1980-07-01,1.843750,1.843750,1.796875,1.843750,0.147663,62400
1980-07-02,1.843750,1.968750,1.843750,1.921875,0.153920,373600
1980-07-03,1.921875,1.968750,1.921875,1.921875,0.153920,369600
1980-07-07,1.937500,1.984375,1.937500,1.953125,0.156423,725600
1980-07-08,1.968750,2.015625,1.968750,2.000000,0.160177,430400
1980-07-09,2.000000,2.078125,1.984375,1.984375,0.158926,168800
1980-07-10,1.968750,1.968750,1.937500,1.953125,0.156423,64000
1980-07-11,1.953125,2.000000,1.921875,2.000000,0.160177,60800
1980-07-14,2.000000,2.031250,1.984375,1.984375,0.158926,150400
1980-07-15,2.000000,2.046875,2.000000,2.000000,0.160177,331200
1980-07-16,2.000000,2.046875,2.000000,2.031250,0.162680,114400
1980-07-17,2.031250,2.046875,2.015625,2.015625,0.161429,131200
1980-07-18,2.015625,2.078125,2.015625,2.062500,0.165183,1992800
1980-07-21,2.062500,2.062500,2.000000,2.000000,0.160177,116800
1980-07-22,2.000000,2.031250,1.984375,1.984375,0.158926,65600
1980-07-23,1.953125,1.953125,1.890625,1.953125,0.156423,77600
1980-07-24,1.953125,1.968750,1.875000,1.875000,0.150166,94400
1980-07-25,1.875000,1.890625,1.875000,1.890625,0.151417,54400
1980-07-28,1.890625,1.937500,1.890625,1.937500,0.155172,235200
1980-07-29,1.953125,2.000000,1.953125,2.000000,0.160177,277600
1980-07-30,2.000000,2.031250,1.984375,2.031250,0.162680,544000
1980-07-31,2.000000,2.000000,1.937500,1.937500,0.155172,43200
1980-08-01,1.937500,1.984375,1.937500,1.968750,0.157674,65600
1980-08-04,1.984375,2.031250,1.984375,2.015625,0.161429,159200
1980-08-05,2.000000,2.000000,2.000000,2.000000,0.160177,43200
1980-08-06,2.000000,2.000000,1.968750,1.984375,0.158926,68000
1980-08-07,2.015625,2.046875,2.015625,2.031250,0.162680,219200
1980-08-08,2.031250,2.046875,1.968750,1.984375,0.158926,191200
1980-08-11,2.000000,2.031250,2.000000,2.015625,0.161429,71200
1980-08-12,2.015625,2.015625,1.968750,1.984375,0.158926,144000
1980-08-13,1.968750,1.968750,1.921875,1.921875,0.153920,77600
1980-08-14,1.921875,1.968750,1.890625,1.953125,0.156423,56000
1980-08-15,1.953125,1.984375,1.921875,1.984375,0.158926,76800
1980-08-18,1.984375,1.984375,1.921875,1.937500,0.155172,376000
1980-08-19,1.937500,1.937500,1.890625,1.906250,0.152669,228800
1980-08-20,1.906250,1.906250,1.875000,1.906250,0.152669,76800
1980-08-21,1.906250,1.906250,1.890625,1.890625,0.151417,1148800
1980-08-22,1.890625,1.906250,1.859375,1.890625,0.151417,112800
1980-08-25,1.890625,1.906250,1.875000,1.890625,0.151417,249600
1980-08-26,1.890625,1.921875,1.890625,1.906250,0.152669,51200
1980-08-27,1.906250,1.906250,1.890625,1.906250,0.152669,63200
1980-08-28,1.906250,1.906250,1.890625,1.906250,0.152669,161600
1980-08-29,1.890625,1.890625,1.859375,1.890625,0.151417,98400
1980-09-02,1.890625,1.906250,1.859375,1.906250,0.152669,94400
1980-09-03,1.906250,1.953125,1.890625,1.937500,0.155172,580000
1980-09-04,1.953125,1.984375,1.953125,1.953125,0.156423,203200
1980-09-05,1.953125,1.968750,1.937500,1.937500,0.155172,88800
1980-09-08,1.937500,1.968750,1.906250,1.906250,0.152669,251200
