Date,Open,High,Low,Close,Adj Close,Volume
1981-12-15,0.236111,0.245370,0.236111,0.236111,0.141156,243000
1981-12-16,0.236111,0.245370,0.236111,0.236111,0.141156,129600
1981-12-17,0.240741,0.250000,0.240741,0.240741,0.143923,621000
1981-12-18,0.240741,0.250000,0.240741,0.240741,0.143923,421200
1981-12-21,0.240741,0.250000,0.240741,0.240741,0.143923,502200
1981-12-22,0.240741,0.250000,0.240741,0.240741,0.143923,658800
1981-12-23,0.250000,0.263889,0.250000,0.250000,0.149459,151200
1981-12-24,0.263889,0.273148,0.263889,0.263889,0.157762,912600
1981-12-28,0.263889,0.273148,0.263889,0.263889,0.157762,248400
1981-12-29,0.263889,0.273148,0.263889,0.263889,0.157762,113400
1981-12-30,0.263889,0.273148,0.263889,0.263889,0.157762,81000
1981-12-31,0.263889,0.273148,0.263889,0.263889,0.157762,27000
1982-01-04,0.273148,0.287037,0.273148,0.273148,0.163298,243000
1982-01-05,0.273148,0.282407,0.273148,0.273148,0.163298,388800
1982-01-06,0.273148,0.277778,0.268519,0.268519,0.160530,205200
1982-01-07,0.268519,0.268519,0.259259,0.259259,0.154994,383400
1982-01-08,0.263889,0.273148,0.263889,0.263889,0.157762,286200
1982-01-11,0.263889,0.263889,0.254630,0.254630,0.152227,356400
1982-01-12,0.254630,0.254630,0.245370,0.245370,0.146691,297000
1982-01-13,0.245370,0.254630,0.240741,0.240741,0.143923,124200
1982-01-14,0.240741,0.240741,0.231481,0.231481,0.138388,189000
1982-01-15,0.231481,0.240741,0.231481,0.231481,0.138388,10800
1982-01-18,0.231481,0.231481,0.217593,0.217593,0.130085,113400
1982-01-19,0.217593,0.231481,0.217593,0.217593,0.130085,118800
1982-01-20,0.217593,0.226852,0.212963,0.212963,0.127317,108000
1982-01-21,0.222222,0.236111,0.222222,0.222222,0.132852,378000
1982-01-22,0.236111,0.245370,0.236111,0.236111,0.141156,54000
1982-01-25,0.236111,0.245370,0.231481,0.231481,0.138388,118800
1982-01-26,0.236111,0.250000,0.236111,0.236111,0.141156,621000
1982-01-27,0.245370,0.254630,0.245370,0.245370,0.146691,162000
1982-01-28,0.250000,0.263889,0.250000,0.250000,0.149459,10800
1982-01-29,0.263889,0.277778,0.263889,0.263889,0.157762,243000
1982-02-01,0.277778,0.287037,0.277778,0.277778,0.166065,523800
1982-02-02,0.287037,0.291667,0.287037,0.287037,0.171601,642600
1982-02-03,0.287037,0.291667,0.282407,0.282407,0.168833,939600
1982-02-04,0.282407,0.291667,0.273148,0.273148,0.163298,378000
1982-02-05,0.273148,0.282407,0.273148,0.273148,0.163298,108000
1982-02-08,0.268519,0.268519,0.254630,0.254630,0.152227,140400
1982-02-09,0.254630,0.254630,0.254630,0.254630,0.152227,0
1982-02-10,0.259259,0.273148,0.259259,0.259259,0.154994,178200
1982-02-11,0.259259,0.273148,0.259259,0.259259,0.154994,5400
1982-02-12,0.259259,0.268519,0.259259,0.259259,0.154994,594000
1982-02-16,0.259259,0.263889,0.254630,0.254630,0.152227,27000
1982-02-17,0.254630,0.254630,0.254630,0.254630,0.152227,0
1982-02-18,0.254630,0.263889,0.254630,0.254630,0.152227,32400
1982-02-19,0.254630,0.259259,0.250000,0.250000,0.149459,108000
1982-02-22,0.250000,0.259259,0.250000,0.250000,0.149459,16200
1982-02-23,0.250000,0.254630,0.250000,0.250000,0.149459,275400
1982-02-24,0.245370,0.245370,0.236111,0.236111,0.141156,318600
1982-02-25,0.245370,0.254630,0.245370,0.245370,0.146691,1101600
1982-02-26,0.245370,0.245370,0.245370,0.245370,0.146691,0
1982-03-01,0.250000,0.259259,0.250000,0.250000,0.149459,10800
1982-03-02,0.250000,0.250000,0.250000,0.250000,0.149459,0
1982-03-03,0.250000,0.259259,0.250000,0.250000,0.149459,183600
