Date,Open,High,Low,Close,Adj Close,Volume
1987-06-10,1.944444,2.111111,1.944444,2.000000,2.000000,10395200
1987-06-11,2.000000,2.027778,1.888889,1.888889,1.888889,2233200
1987-06-12,1.888889,1.944444,1.888889,1.888889,1.888889,1120800
1987-06-15,1.888889,1.944444,1.888889,1.888889,1.888889,1815200
1987-06-16,1.888889,1.916667,1.833333,1.833333,1.833333,686600
1987-06-17,1.833333,1.888889,1.805556,1.888889,1.888889,891200
1987-06-18,1.888889,1.888889,1.833333,1.833333,1.833333,126800
1987-06-19,1.833333,1.861111,1.833333,1.861111,1.861111,638000
1987-06-22,1.861111,1.861111,1.833333,1.833333,1.833333,276600
1987-06-23,1.833333,1.861111,1.777778,1.805556,1.805556,554600
1987-06-24,1.805556,1.805556,1.777778,1.805556,1.805556,336800
1987-06-25,1.777778,1.777778,1.777778,1.777778,1.777778,15200
1987-06-26,1.777778,1.805556,1.777778,1.777778,1.777778,248600
1987-06-29,1.777778,1.805556,1.611111,1.611111,1.611111,355400
1987-06-30,1.611111,1.666667,1.472222,1.472222,1.472222,80400
1987-07-01,1.472222,1.666667,1.472222,1.666667,1.666667,290600
1987-07-02,1.666667,1.722222,1.583333,1.722222,1.722222,252200
1987-07-06,1.722222,1.777778,1.666667,1.666667,1.666667,95600
1987-07-07,1.666667,1.888889,1.666667,1.805556,1.805556,470600
1987-07-08,1.805556,1.861111,1.777778,1.777778,1.777778,273800
1987-07-09,1.777778,1.861111,1.722222,1.722222,1.722222,124400
1987-07-10,1.722222,1.833333,1.722222,1.722222,1.722222,12000
1987-07-13,1.722222,1.777778,1.611111,1.611111,1.611111,89000
1987-07-14,1.611111,1.694444,1.611111,1.666667,1.666667,115200
1987-07-15,1.666667,1.694444,1.611111,1.611111,1.611111,96600
1987-07-16,1.666667,1.722222,1.666667,1.694444,1.694444,28800
1987-07-17,1.722222,1.722222,1.722222,1.722222,1.722222,5600
1987-07-20,1.722222,1.722222,1.611111,1.611111,1.611111,11600
1987-07-21,1.666667,1.722222,1.666667,1.722222,1.722222,12000
1987-07-22,1.722222,1.722222,1.611111,1.638889,1.638889,191600
1987-07-23,1.638889,1.694444,1.638889,1.638889,1.638889,72200
1987-07-24,1.638889,1.694444,1.638889,1.638889,1.638889,6600
1987-07-27,1.638889,1.666667,1.638889,1.638889,1.638889,100200
1987-07-28,1.638889,1.666667,1.638889,1.638889,1.638889,151200
1987-07-29,1.638889,1.638889,1.638889,1.638889,1.638889,2600
1987-07-30,1.638889,1.666667,1.638889,1.638889,1.638889,158400
1987-07-31,1.638889,1.722222,1.638889,1.638889,1.638889,40800
1987-08-03,1.694444,1.722222,1.694444,1.722222,1.722222,153800
1987-08-04,1.750000,1.861111,1.750000,1.750000,1.750000,53400
1987-08-05,1.750000,1.861111,1.750000,1.861111,1.861111,2600
1987-08-06,1.833333,1.833333,1.777778,1.833333,1.833333,7200
1987-08-07,1.833333,1.833333,1.777778,1.777778,1.777778,17000
1987-08-10,1.777778,1.805556,1.722222,1.722222,1.722222,1800
1987-08-11,1.722222,1.805556,1.722222,1.750000,1.750000,73800
1987-08-12,1.750000,1.805556,1.750000,1.750000,1.750000,11000
1987-08-13,1.750000,1.805556,1.750000,1.750000,1.750000,50600
1987-08-14,1.750000,1.750000,1.750000,1.750000,1.750000,3600
1987-08-17,1.750000,1.750000,1.750000,1.750000,1.750000,0
1987-08-18,1.750000,1.805556,1.750000,1.750000,1.750000,7200
1987-08-19,1.750000,1.750000,1.750000,1.750000,1.750000,13400
1987-08-20,1.750000,1.777778,1.722222,1.722222,1.722222,66800
1987-08-21,1.722222,1.805556,1.722222,1.750000,1.750000,282000
1987-08-24,1.750000,1.750000,1.722222,1.722222,1.722222,71000
1987-08-25,1.722222,1.833333,1.722222,1.777778,1.777778,146600
1987-08-26,1.777778,1.833333,1.722222,1.833333,1.833333,153200
1987-08-27,1.833333,1.833333,1.750000,1.833333,1.833333,81200
1987-08-28,1.833333,1.888889,1.805556,1.888889,1.888889,44000
1987-08-31,1.888889,1.916667,1.805556,1.916667,1.916667,133200
1987-09-01,1.916667,2.000000,1.833333,1.916667,1.916667,337400
1987-09-02,1.916667,2.000000,1.916667,1.916667,1.916667,97400
1987-09-03,1.916667,1.916667,1.916667,1.916667,1.916667,5400
1987-09-04,1.916667,2.000000,1.916667,1.972222,1.972222,91200
1987-09-08,1.972222,1.972222,1.944444,1.944444,1.944444,57800
1987-09-09,1.944444,2.000000,1.916667,1.916667,1.916667,13400
1987-09-10,1.916667,2.027778,1.916667,1.972222,1.972222,30800
1987-09-11,1.972222,2.027778,1.972222,2.027778,2.027778,175400
1987-09-14,2.027778,2.166667,2.000000,2.083333,2.083333,294200
1987-09-15,2.083333,2.083333,2.027778,2.083333,2.083333,131600
1987-09-16,2.083333,2.083333,2.055556,2.055556,2.055556,250200
1987-09-17,2.055556,2.111111,2.055556,2.111111,2.111111,99000
1987-09-18,2.055556,2.055556,2.055556,2.055556,2.055556,2000
1987-09-21,2.055556,2.111111,1.972222,1.972222,1.972222,54800
1987-09-22,1.972222,2.000000,1.888889,2.000000,2.000000,116400
1987-09-23,2.000000,2.027778,1.944444,2.027778,2.027778,90000
1987-09-24,2.027778,2.027778,1.944444,2.027778,2.027778,49400
1987-09-25,2.027778,2.027778,2.027778,2.027778,2.027778,22400
1987-09-28,2.027778,2.027778,2.027778,2.027778,2.027778,6600
1987-09-29,2.027778,2.055556,1.972222,2.055556,2.055556,390800
1987-09-30,2.055556,2.055556,2.000000,2.055556,2.055556,16400
1987-10-01,2.055556,2.388889,2.055556,2.388889,2.388889,555600
1987-10-02,2.388889,2.444444,2.277778,2.277778,2.277778,327800
1987-10-05,2.277778,2.388889,2.250000,2.388889,2.388889,241400
1987-10-06,2.388889,2.500000,2.333333,2.500000,2.500000,335000
1987-10-07,2.500000,2.555556,2.444444,2.555556,2.555556,219800
1987-10-08,2.555556,2.555556,2.416667,2.416667,2.416667,201000
1987-10-09,2.416667,2.500000,2.416667,2.500000,2.500000,89000
1987-10-12,2.444444,2.444444,2.277778,2.277778,2.277778,45800
1987-10-13,2.277778,2.361111,2.277778,2.361111,2.361111,52200
1987-10-14,2.333333,2.333333,2.222222,2.222222,2.222222,33600
1987-10-15,2.222222,2.222222,2.166667,2.222222,2.222222,29000
1987-10-16,2.138889,2.138889,2.055556,2.055556,2.055556,44000
1987-10-19,1.888889,1.888889,1.722222,1.750000,1.750000,489600
1987-10-20,1.750000,1.750000,1.555556,1.555556,1.555556,40400
1987-10-21,1.555556,1.750000,1.555556,1.722222,1.722222,81000
1987-10-22,1.666667,1.666667,1.611111,1.638889,1.638889,95600
1987-10-23,1.583333,1.583333,1.500000,1.527778,1.527778,73800
1987-10-26,1.472222,1.472222,1.222222,1.277778,1.277778,96200
1987-10-27,1.305556,1.388889,1.305556,1.333333,1.333333,75800
1987-10-28,1.277778,1.277778,1.166667,1.277778,1.277778,57800
1987-10-29,1.277778,1.416667,1.166667,1.388889,1.388889,198000
1987-10-30,1.388889,1.444444,1.361111,1.416667,1.416667,717200
1987-11-02,1.416667,1.444444,1.361111,1.444444,1.444444,117800
1987-11-03,1.444444,1.444444,1.361111,1.416667,1.416667,110600
1987-11-04,1.388889,1.388889,1.333333,1.388889,1.388889,326600
1987-11-05,1.388889,1.416667,1.361111,1.416667,1.416667,45800
1987-11-06,1.416667,1.444444,1.388889,1.388889,1.388889,6200
1987-11-09,1.388889,1.416667,1.333333,1.333333,1.333333,11600
1987-11-10,1.305556,1.305556,1.305556,1.305556,1.305556,15200
1987-11-11,1.333333,1.388889,1.333333,1.333333,1.333333,42600
1987-11-12,1.361111,1.416667,1.361111,1.361111,1.361111,43400
