Date,Open,High,Low,Close,Adj Close,Volume
1993-06-22,1.625000,1.625000,1.406250,1.437500,1.300065,22363200
1993-06-23,1.468750,1.500000,1.437500,1.468750,1.328327,3168800
1993-06-24,1.468750,1.500000,1.468750,1.468750,1.328327,703200
1993-06-25,1.468750,1.531250,1.468750,1.500000,1.356589,1654400
1993-06-28,1.500000,1.531250,1.500000,1.500000,1.356589,1398400
1993-06-29,1.531250,1.531250,1.468750,1.531250,1.384851,756800
1993-06-30,1.468750,1.468750,1.406250,1.406250,1.271802,1027200
1993-07-01,1.468750,1.468750,1.406250,1.468750,1.328327,627200
1993-07-02,1.468750,1.468750,1.406250,1.406250,1.271802,213600
1993-07-06,1.406250,1.468750,1.406250,1.406250,1.271802,141600
1993-07-07,1.343750,1.375000,1.250000,1.328125,1.201147,1111200
1993-07-08,1.281250,1.375000,1.281250,1.312500,1.187015,648800
1993-07-09,1.281250,1.343750,1.281250,1.343750,1.215278,255200
1993-07-12,1.281250,1.343750,1.281250,1.312500,1.187015,828000
1993-07-13,1.281250,1.375000,1.281250,1.359375,1.229409,182400
1993-07-14,1.343750,1.500000,1.343750,1.468750,1.328327,583200
1993-07-15,1.468750,1.500000,1.437500,1.500000,1.356589,230400
1993-07-16,1.500000,1.500000,1.437500,1.437500,1.300065,128800
1993-07-19,1.500000,1.500000,1.437500,1.468750,1.328327,692000
1993-07-20,1.437500,1.500000,1.437500,1.468750,1.328327,68800
1993-07-21,1.437500,1.500000,1.437500,1.437500,1.300065,35200
1993-07-22,1.468750,1.500000,1.468750,1.468750,1.328327,448800
1993-07-23,1.468750,1.500000,1.343750,1.390625,1.257671,332800
1993-07-26,1.343750,1.343750,1.281250,1.343750,1.215278,286400
1993-07-27,1.281250,1.343750,1.281250,1.281250,1.158753,411200
1993-07-28,1.312500,1.343750,1.281250,1.281250,1.158753,70400
1993-07-29,1.343750,1.375000,1.281250,1.375000,1.243540,144800
1993-07-30,1.312500,1.375000,1.296875,1.343750,1.215278,984800
1993-08-02,1.312500,1.343750,1.312500,1.312500,1.187015,64000
1993-08-03,1.312500,1.343750,1.312500,1.312500,1.187015,64000
1993-08-04,1.343750,1.343750,1.312500,1.312500,1.187015,65600
1993-08-05,1.312500,1.343750,1.312500,1.312500,1.187015,39200
1993-08-06,1.312500,1.343750,1.312500,1.312500,1.187015,23200
1993-08-09,1.312500,1.343750,1.312500,1.312500,1.187015,51200
1993-08-10,1.281250,1.312500,1.218750,1.250000,1.130491,568800
1993-08-11,1.218750,1.218750,1.062500,1.187500,1.073966,1015200
1993-08-12,1.187500,1.187500,1.125000,1.140625,1.031573,1605600
1993-08-13,1.125000,1.187500,1.125000,1.125000,1.017442,319200
1993-08-16,1.125000,1.250000,1.125000,1.187500,1.073966,200000
1993-08-17,1.187500,1.250000,1.187500,1.187500,1.073966,459200
1993-08-18,1.187500,1.250000,1.187500,1.218750,1.102229,50400
1993-08-19,1.187500,1.218750,1.125000,1.203125,1.088097,548000
1993-08-20,1.125000,1.218750,1.125000,1.187500,1.073966,8000
1993-08-23,1.218750,1.218750,1.171875,1.171875,1.059836,49600
1993-08-24,1.156250,1.218750,1.156250,1.156250,1.045704,9600
1993-08-25,1.187500,1.218750,1.156250,1.156250,1.045704,48000
1993-08-26,1.156250,1.218750,1.140625,1.156250,1.045704,176800
1993-08-27,1.156250,1.218750,1.156250,1.156250,1.045704,64000
1993-08-30,1.218750,1.218750,1.156250,1.156250,1.045704,89600
1993-08-31,1.156250,1.218750,1.156250,1.218750,1.102229,23200
1993-09-01,1.140625,1.187500,1.140625,1.156250,1.045704,138400
1993-09-02,1.218750,1.218750,1.156250,1.187500,1.073966,479200
1993-09-03,1.187500,1.218750,1.156250,1.218750,1.102229,395200
1993-09-07,1.218750,1.218750,1.125000,1.187500,1.073966,280800
1993-09-08,1.125000,1.187500,1.062500,1.062500,0.960917,715200
1993-09-09,1.125000,1.156250,1.062500,1.156250,1.045704,97600
1993-09-10,1.156250,1.156250,1.093750,1.156250,1.045704,194400
1993-09-13,1.125000,1.156250,1.093750,1.156250,1.045704,52000
1993-09-14,1.156250,1.218750,1.093750,1.218750,1.102229,582400
