Date,Open,High,Low,Close,Adj Close,Volume
1990-06-12,1.083333,1.250000,1.083333,1.166667,0.853322,28022400
1990-06-13,1.166667,1.312500,1.125000,1.291667,0.944750,10702800
1990-06-14,1.291667,1.354167,1.250000,1.333333,0.975225,5994000
1990-06-15,1.333333,1.333333,1.270833,1.291667,0.944750,3896400
1990-06-18,1.312500,1.312500,1.229167,1.239583,0.906655,2242800
1990-06-19,1.229167,1.291667,1.208333,1.281250,0.937131,6829200
1990-06-20,1.291667,1.291667,1.250000,1.270833,0.929512,931200
1990-06-21,1.250000,1.270833,1.229167,1.270833,0.929512,842400
1990-06-22,1.270833,1.270833,1.229167,1.260417,0.921892,1428000
1990-06-25,1.250000,1.291667,1.229167,1.250000,0.914274,1849200
1990-06-26,1.270833,1.291667,1.229167,1.229167,0.899036,1482000
1990-06-27,1.229167,1.312500,1.229167,1.281250,0.937131,7206000
1990-06-28,1.291667,1.291667,1.250000,1.270833,0.929512,2084400
1990-06-29,1.270833,1.270833,1.250000,1.250000,0.914274,2312400
1990-07-02,1.250000,1.270833,1.229167,1.239583,0.906655,596400
1990-07-03,1.250000,1.250000,1.208333,1.250000,0.914274,1974000
1990-07-05,1.229167,1.250000,1.229167,1.229167,0.899036,1177200
1990-07-06,1.250000,1.250000,1.208333,1.250000,0.914274,396000
1990-07-09,1.270833,1.270833,1.229167,1.229167,0.899036,534000
1990-07-10,1.229167,1.333333,1.229167,1.291667,0.944750,3079200
1990-07-11,1.291667,1.333333,1.270833,1.270833,0.929512,1683600
1990-07-12,1.312500,1.312500,1.250000,1.270833,0.929512,4863600
1990-07-13,1.312500,1.333333,1.270833,1.333333,0.975225,3573600
1990-07-16,1.354167,1.375000,1.270833,1.333333,0.975225,4029600
1990-07-17,1.333333,1.354167,1.312500,1.333333,0.975225,2526000
1990-07-18,1.354167,1.416667,1.333333,1.375000,1.005701,3375600
1990-07-19,1.375000,1.395833,1.354167,1.364583,0.998082,943200
1990-07-20,1.395833,1.395833,1.354167,1.354167,0.990463,630000
1990-07-23,1.354167,1.375000,1.250000,1.270833,0.929512,1952400
1990-07-24,1.291667,1.312500,1.208333,1.239583,0.906655,1084800
1990-07-25,1.250000,1.312500,1.229167,1.291667,0.944750,1543200
1990-07-26,1.312500,1.312500,1.270833,1.270833,0.929512,447600
1990-07-27,1.270833,1.291667,1.270833,1.270833,0.929512,122400
1990-07-30,1.250000,1.270833,1.145833,1.229167,0.899036,1852800
1990-07-31,1.229167,1.270833,1.187500,1.208333,0.883798,1010400
1990-08-01,1.229167,1.229167,1.187500,1.229167,0.899036,411600
1990-08-02,1.187500,1.208333,1.104167,1.145833,0.838084,1917600
1990-08-03,1.145833,1.166667,1.104167,1.111975,0.813319,829200
1990-08-06,1.104167,1.104167,1.000000,1.041667,0.761895,1581600
1990-08-07,1.104167,1.125000,1.062500,1.104167,0.807608,1156800
1990-08-08,1.104167,1.187500,1.104167,1.187500,0.868560,824400
1990-08-09,1.187500,1.208333,1.166667,1.166667,0.853322,1260000
1990-08-10,1.187500,1.187500,1.125000,1.166667,0.853322,532800
1990-08-13,1.104167,1.125000,1.083333,1.114583,0.815227,454800
1990-08-14,1.125000,1.145833,1.104167,1.135417,0.830465,829200
1990-08-15,1.166667,1.187500,1.166667,1.187500,0.868560,282000
1990-08-16,1.166667,1.166667,1.083333,1.083333,0.792370,682800
1990-08-17,1.083333,1.125000,1.020833,1.125000,0.822846,1612800
1990-08-20,1.104167,1.125000,1.083333,1.104167,0.807608,337200
1990-08-21,1.125000,1.125000,1.062500,1.104167,0.807608,1185600
1990-08-22,1.145833,1.156250,1.083333,1.104167,0.807608,1306800
1990-08-23,1.062500,1.104167,1.041667,1.062500,0.777133,416400
1990-08-24,1.104167,1.125000,1.104167,1.104167,0.807608,1162800
1990-08-27,1.145833,1.208333,1.125000,1.208333,0.883798,1048800
1990-08-28,1.166667,1.229167,1.145833,1.229167,0.899036,604800
1990-08-29,1.229167,1.229167,1.187500,1.187500,0.868560,176400
1990-08-30,1.187500,1.208333,1.187500,1.187500,0.868560,159600
1990-08-31,1.187500,1.250000,1.187500,1.250000,0.914274,530400
