Date,Open,High,Low,Close,Adj Close,Volume
1998-12-22,30.250000,30.250000,29.828100,29.828100,14.869857,7900
1998-12-23,29.796801,29.796801,29.640600,29.703100,14.807539,24100
1998-12-24,30.218700,30.312500,30.156200,30.250000,15.080177,23800
1998-12-28,30.187500,30.250000,30.046801,30.093700,15.002259,3100
1998-12-29,30.218700,30.671801,30.218700,30.593700,15.251528,12000
1998-12-30,30.750000,30.828100,30.343700,30.343700,15.126891,70400
1998-12-31,30.234301,30.234301,30.031200,30.234301,15.072356,21600
1999-01-04,30.015600,30.250000,29.625000,29.750000,14.830914,109300
1999-01-05,29.984301,30.109301,29.859301,30.109301,15.010033,111200
1999-01-06,30.203100,30.515600,30.203100,30.421801,15.165825,41000
1999-01-07,30.421801,30.734301,30.250000,30.312500,15.111336,222300
1999-01-08,30.406200,30.515600,30.109301,30.484301,15.196984,135900
1999-01-11,30.312500,30.312500,29.562500,29.671801,14.791934,129000
1999-01-12,29.640600,30.125000,29.531200,29.687500,14.799761,7100
1999-01-13,29.500000,30.109301,29.500000,29.890600,14.901012,25900
1999-01-14,29.468700,29.765600,29.250000,29.390600,14.651750,20000
1999-01-15,29.500000,29.796801,29.421801,29.531200,14.721840,6900
1999-01-19,30.437500,30.531200,30.000000,30.531200,15.220365,12200
1999-01-20,30.562500,30.734301,30.281200,30.406200,15.158047,32700
1999-01-21,30.625000,30.625000,30.296801,30.296801,15.103507,20500
1999-01-22,30.093700,30.718700,29.968700,30.500000,15.204811,20800
1999-01-25,30.500000,30.500000,29.359301,29.359301,14.636151,13600
1999-01-26,29.687500,29.937500,29.234301,29.937500,14.924397,15200
1999-01-27,29.859301,29.859301,29.484301,29.484301,14.698467,7800
1999-01-28,29.562500,29.937500,29.531200,29.531200,14.721840,17600
1999-01-29,29.531200,29.656200,29.203100,29.484301,14.698467,39800
1999-02-01,29.656200,29.656200,29.250000,29.421801,14.667311,12200
1999-02-02,29.046801,29.109301,28.656200,29.031200,14.472582,27700
1999-02-03,28.875000,29.218700,28.875000,29.187500,14.550507,32500
1999-02-04,29.140600,29.140600,28.750000,28.750000,14.332404,18200
1999-02-05,28.859301,29.015600,28.765600,28.765600,14.340178,8100
1999-02-08,28.781200,28.968700,28.718700,28.765600,14.340178,13300
1999-02-09,28.828100,29.156200,28.765600,28.890600,14.402495,12200
1999-02-10,28.890600,28.984301,28.671801,28.687500,14.301248,8000
1999-02-11,28.765600,28.968700,28.671801,28.812500,14.363557,4400
1999-02-12,28.953100,28.953100,28.218700,28.343700,14.129853,103000
1999-02-16,28.718700,28.859301,28.640600,28.859301,14.386886,59300
1999-02-17,28.781200,29.250000,28.656200,28.656200,14.285645,57400
1999-02-18,28.781200,29.562500,28.656200,29.171801,14.542672,14000
1999-02-19,29.015600,29.156200,28.750000,28.859301,14.386886,9600
1999-02-22,28.968700,29.796801,28.968700,29.796801,14.854250,6900
1999-02-23,29.531200,29.531200,28.750000,28.859301,14.386886,15100
1999-02-24,28.953100,29.562500,28.953100,29.125000,14.519346,66000
1999-02-25,28.937500,28.968700,28.375000,28.500000,14.207778,23600
1999-02-26,28.703100,28.703100,28.265600,28.671801,14.293415,11400
1999-03-01,28.437500,28.437500,28.078100,28.250000,14.083140,8400
1999-03-02,28.437500,28.515600,27.828100,27.828100,13.872815,10300
1999-03-03,27.843700,28.015600,27.843700,27.843700,13.880593,4700
1999-03-04,28.078100,28.281200,28.000000,28.281200,14.098700,5700
1999-03-05,28.750000,28.812500,28.421801,28.765600,14.340178,21000
1999-03-08,28.640600,28.640600,28.296801,28.437500,14.176618,39100
1999-03-09,28.468700,28.578100,28.187500,28.359301,14.137628,5800
1999-03-10,28.234301,28.375000,28.218700,28.265600,14.090922,34000
1999-03-11,28.296801,28.656200,28.218700,28.484301,14.199949,9600
1999-03-12,28.890600,28.921801,28.656200,28.796801,14.355731,7800
1999-03-15,28.921801,29.000000,28.750000,28.875000,14.394719,15900
1999-03-16,28.781200,28.921801,28.609301,28.765600,14.340178,10100
1999-03-17,28.828100,28.890600,28.500000,28.500000,14.207778,12100
1999-03-18,28.437500,28.921801,28.437500,28.921801,14.418048,13800
1999-03-19,28.593700,28.750000,28.203100,28.203100,14.152245,51000
1999-03-22,28.203100,28.531200,28.203100,28.296801,14.199265,38400
1999-03-23,28.046801,28.046801,27.234301,27.406200,13.752368,34400
1999-03-24,27.593700,27.906200,27.250000,27.781200,13.940536,23700
1999-03-25,27.796801,27.796801,27.531200,27.687500,13.893521,7600
1999-03-26,27.265600,27.390600,27.156200,27.328100,13.713176,12300
1999-03-29,27.390600,27.546801,27.187500,27.187500,13.642623,14500
1999-03-30,26.937500,27.078100,26.750000,26.750000,13.423077,11500
1999-03-31,26.937500,26.984301,26.687500,26.687500,13.391717,20500
1999-04-01,26.796801,27.250000,26.796801,27.250000,13.673984,11200
1999-04-05,27.328100,27.578100,27.187500,27.468700,13.783719,8400
1999-04-06,27.500000,27.625000,27.296801,27.328100,13.713176,38900
1999-04-07,27.562500,27.750000,27.437500,27.687500,13.893521,29100
1999-04-08,27.781200,28.531200,27.781200,28.421801,14.261986,44900
1999-04-09,28.468700,28.468700,28.156200,28.218700,14.160069,17300
1999-04-12,28.250000,28.671801,28.156200,28.625000,14.363949,9500
1999-04-13,28.625000,28.656200,28.156200,28.156200,14.128710,13000
1999-04-14,28.250000,28.250000,27.734301,27.750000,13.924878,26600
1999-04-15,27.828100,28.140600,27.828100,28.031200,14.065987,17500
1999-04-16,28.187500,28.406200,28.171801,28.343700,14.222797,2800
1999-04-19,28.625000,29.125000,28.578100,28.625000,14.363949,11900
1999-04-20,28.656200,28.937500,28.656200,28.937500,14.520762,10300
1999-04-21,29.062500,29.453100,28.859301,29.453100,14.779490,19600
1999-04-22,29.390600,29.390600,28.984301,29.359301,14.732427,13200
1999-04-23,29.531200,29.531200,29.312500,29.343700,14.724598,6100
1999-04-26,29.343700,29.546801,29.187500,29.187500,14.646217,6100
1999-04-27,29.046801,29.375000,29.046801,29.359301,14.732427,8700
1999-04-28,29.484301,29.546801,29.234301,29.234301,14.669695,8700
1999-04-29,29.734301,29.828100,29.640600,29.656200,14.881406,13700
1999-04-30,29.531200,29.593700,29.000000,29.265600,14.685406,32500
1999-05-03,29.359301,29.796801,29.359301,29.703100,14.904941,4400
1999-05-04,29.875000,29.875000,29.375000,29.453100,14.779490,50200
1999-05-05,29.515600,29.687500,29.390600,29.687500,14.897110,627100
1999-05-06,29.468700,29.562500,29.062500,29.062500,14.583490,16700
1999-05-07,29.421801,29.593700,29.421801,29.421801,14.763790,6100
1999-05-10,29.421801,29.421801,29.328100,29.343700,14.724598,4100
1999-05-11,29.265600,29.468700,29.046801,29.453100,14.779490,15600
1999-05-12,29.390600,29.531200,29.234301,29.531200,14.818678,11800
1999-05-13,29.421801,30.000000,29.421801,29.921801,15.014686,10300
1999-05-14,29.656200,29.656200,29.359301,29.359301,14.732427,15600
1999-05-17,29.546801,29.984301,29.328100,29.968700,15.038216,10200
1999-05-18,29.921801,29.921801,29.265600,29.312500,14.708933,10800
1999-05-19,29.609301,29.953100,29.609301,29.921801,15.014686,31100
1999-05-20,29.890600,30.109301,29.687500,29.859301,14.983325,28200
1999-05-21,29.687500,29.765600,29.578100,29.578100,14.842214,7000
1999-05-24,29.921801,30.031200,29.703100,29.875000,14.991200,10900
1999-05-25,30.000000,30.343700,29.875000,29.906200,15.006866,20900
1999-05-26,29.859301,30.140600,29.718700,30.062500,15.085283,14900
1999-05-27,29.937500,29.937500,29.531200,29.546801,14.826510,8900
1999-05-28,29.625000,29.703100,29.609301,29.609301,14.857874,3100
1999-06-01,29.515600,29.593700,29.250000,29.593700,14.850046,5400
1999-06-02,29.703100,29.734301,29.406200,29.593700,14.850046,60000
1999-06-03,29.593700,29.593700,29.203100,29.312500,14.708933,8200
1999-06-04,29.562500,29.750000,29.531200,29.750000,14.928472,13400
1999-06-07,29.937500,30.078100,29.828100,30.000000,15.053924,10900
1999-06-08,30.171801,30.265600,30.000000,30.000000,15.053924,4300
1999-06-09,30.125000,30.281200,30.093700,30.234301,15.171499,5000
1999-06-10,30.000000,30.000000,29.718700,29.984301,15.046042,4800
1999-06-11,30.000000,30.031200,29.750000,29.781200,14.944137,7300
1999-06-14,30.156200,30.640600,30.140600,30.609301,15.359672,79600
1999-06-15,30.671801,30.812500,30.625000,30.640600,15.375379,43500
1999-06-16,30.718700,31.000000,30.718700,30.937500,15.524363,124900
1999-06-17,30.703100,30.843700,30.625000,30.671801,15.391031,4000
1999-06-18,30.781200,30.875000,30.546801,30.593700,15.446012,68500
1999-06-21,30.421801,30.578100,30.234301,30.359301,15.327663,58600
1999-06-22,30.281200,30.453100,30.250000,30.250000,15.272483,11000
